,index,countyFIPS,State,STATE,COUNTY,CountyName,preds
0,0,01001,AL,1,1,AUTAUGA COUNTY,0.6861374649440816
1,1,01003,AL,1,3,BALDWIN COUNTY,0.48971004056320727
2,2,01005,AL,1,5,BARBOUR COUNTY,0.2454315741169298
3,3,01007,AL,1,7,BIBB COUNTY,0.1703367154506537
4,4,01009,AL,1,9,BLOUNT COUNTY,0.28085047206066055
5,5,01011,AL,1,11,BULLOCK COUNTY,0.2522014140166559
6,6,01013,AL,1,13,BUTLER COUNTY,0.41186306833625397
7,7,01015,AL,1,15,CALHOUN COUNTY,0.7226210041238355
8,8,01017,AL,1,17,CHAMBERS COUNTY,0.3545030064215451
9,9,01019,AL,1,19,CHEROKEE COUNTY,0.0600033067031252
10,10,01021,AL,1,21,CHILTON COUNTY,0.268832256849428
11,11,01023,AL,1,23,CHOCTAW COUNTY,0.1655804463307668
12,12,01025,AL,1,25,CLARKE COUNTY,0.19860012020469492
13,13,01027,AL,1,27,CLAY COUNTY,0.047253975262640455
14,14,01029,AL,1,29,CLEBURNE COUNTY,0.03790781793816624
15,15,01031,AL,1,31,COFFEE COUNTY,0.27203078358471483
16,16,01033,AL,1,33,COLBERT COUNTY,0.5294457256406448
17,17,01035,AL,1,35,CONECUH COUNTY,0.1174495969845055
18,18,01037,AL,1,37,COOSA COUNTY,0.04197150403505973
19,19,01039,AL,1,39,COVINGTON COUNTY,0.1368921290734784
20,20,01041,AL,1,41,CRENSHAW COUNTY,0.07737093845168722
21,21,01043,AL,1,43,CULLMAN COUNTY,0.11495746792090954
22,22,01045,AL,1,45,DALE COUNTY,0.2948825833102612
23,23,01047,AL,1,47,DALLAS COUNTY,1.7318377190085994
24,24,01049,AL,1,49,DEKALB COUNTY,0.10741744282210093
25,25,01051,AL,1,51,ELMORE COUNTY,0.7266462030140671
26,26,01053,AL,1,53,ESCAMBIA COUNTY,0.1509439203771722
27,27,01055,AL,1,55,ETOWAH COUNTY,0.5602843805916358
28,28,01057,AL,1,57,FAYETTE COUNTY,0.09685513884783076
29,29,01059,AL,1,59,FRANKLIN COUNTY,0.08656683276745974
30,30,01061,AL,1,61,GENEVA COUNTY,0.2869463527958362
31,31,01063,AL,1,63,GREENE COUNTY,0.6109347882868559
32,32,01065,AL,1,65,HALE COUNTY,2.0664038992391
33,33,01067,AL,1,67,HENRY COUNTY,0.5253376534187512
34,34,01069,AL,1,69,HOUSTON COUNTY,0.9706109833655475
35,35,01071,AL,1,71,JACKSON COUNTY,0.07460399688769202
36,36,01073,AL,1,73,JEFFERSON COUNTY,2.5471914463918095
37,37,01075,AL,1,75,LAMAR COUNTY,0.03986175425842425
38,38,01077,AL,1,77,LAUDERDALE COUNTY,0.43517914851837497
