"FULL","mean"
"Alabama",-0.806
"Alaska",-1.371
"Arizona",-0.577
"Arkansas",-1.131
"California",-1.484
"Colorado",-1.769
"Connecticut",-0.646
"Delaware",-1.364
"Florida",-0.301
"Georgia",-1.611
"Hawaii",-1.656
"Idaho",-1.32
"Illinois",-0.926
"Indiana",-0.721
"Iowa",-1.296
"Kansas",-1.428
"Kentucky",-1.072
"Louisiana",-1.737
"Maine",-1.165
"Maryland",-2.197
"Massachusetts",-1.625
"Michigan",-0.191
"Minnesota",-1.497
"Mississippi",-2.324
"Missouri",-1.62
"Montana",-0.718
"Nebraska",-0.982
"Nevada",-0.344
"New Hampshire",-0.595
"New Jersey",-1.282
"New Mexico",-0.845
"New York",-1.24
"North Carolina",-1.143
"North Dakota",-1.713
"Ohio",-0.405
"Oklahoma",-1.333
"Oregon",-0.802
"Pennsylvania",-0.995
"Rhode Island",-0.908
"South Carolina",-1.382
"South Dakota",-1.546
"Tennessee",-0.879
"Texas",-1.253
"Utah",-1.264
"Vermont",-1.097
"Virginia",-2.859
"Washington",-0.989
"West Virginia",-1.321
"Wisconsin",-0.777
"Wyoming",-1.546
