,counties,index
0,"Blount County, AL",140
1,"Montgomery County, AL",143
2,"Mobile County, AL",153
3,"Montgomery County, AL",1108
4,"Tuscaloosa County, AL",158
5,"Jefferson County, AL",1051
6,"Etowah County, AL",2065
7,"Mobile County, AL",1008
8,NA,1727
9,"Mobile County, AL",1732
10,"Talladega County, AL",991
11,"Dallas County, AL",1674
12,"Dallas County, AL",1163
13,"Jefferson County, AL",1110
14,"Jefferson County, AL",1171
15,"Jefferson County, AL",96
16,"Montgomery County, AL",1503
17,"Mobile County, AL",100
18,"Mobile County, AL",1388
19,"Tuscaloosa County, AL",1386
20,"Jefferson County, AL",1385
21,"Chambers County, AL",1419
22,"Jefferson County, AL",1383
23,"Montgomery County, AL",110
24,"Jefferson County, AL",1281
25,"Dale County, AL",1602
26,"Tuscaloosa County, AL",1232
27,"Jefferson County, AL",63
28,"Mobile County, AL",1206
29,"Madison County, AL",1348
30,"Morgan County, AL",58
31,"Montgomery County, AL",965
32,NA,548
33,"Jefferson County, AL",486
34,"Baldwin County, AL",1980
35,"Mobile County, AL",343
36,"Mobile County, AL",2050
37,"Tallapoosa County, AL",330
38,"Mobile County, AL",511
39,"Madison County, AL",547
40,"Madison County, AL",1953
41,"Montgomery County, AL",324
42,"Jefferson County, AL",1937
43,"Houston County, AL",2028
44,"Mobile County, AL",269
45,"Jefferson County, AL",368
46,"Autauga County, AL",600
47,"Mobile County, AL",611
48,"Calhoun County, AL",679
49,"Jefferson County, AL",714
50,"Jefferson County, AL",1861
51,"Jefferson County, AL",772
52,"Mobile County, AL",1845
53,"Jefferson County, AL",783
54,"Mobile County, AL",11
55,"Montgomery County, AL",216
56,"Jefferson County, AL",1804
57,"Madison County, AL",198
58,"Hale County, AL",317
59,"Jefferson County, AL",255
60,"Mobile County, AL",416
61,"Anchorage Borough, AK",188
62,"Anchorage Borough, AK",903
63,"Bethel Census Area, AK",974
64,"Matanuska-Susitna Borough, AK",1978
65,"Anchorage Borough, AK",734
66,"Anchorage Borough, AK",113
67,"Cochise County, AZ",274
68,"Yavapai County, AZ",1258
69,"Maricopa County, AZ",1193
70,"Pima County, AZ",1117
71,"Maricopa County, AZ",509
72,"Maricopa County, AZ",621
73,"Maricopa County, AZ",1876
74,"Maricopa County, AZ",880
75,"Cochise County, AZ",889
76,"Pima County, AZ",891
